Stage,Time (seconds)
Normalization,0.6737687587738037
One-hot Encoding,0.0030214786529541016
Model Definition,0.202927827835083
Model Compilation,0.015995264053344727
Model Training,175.2693977355957
Total Time,176.18610525131226
Epoch 1,15.620944499969482
Epoch 2,11.237725257873535
Epoch 3,11.30038046836853
Epoch 4,11.268022775650024
Epoch 5,11.490215539932251
Epoch 6,11.349706172943115
Epoch 7,11.504740476608276
Epoch 8,11.536609888076782
Epoch 9,11.559826374053955
Epoch 10,11.40536618232727
Epoch 11,11.439337491989136
Epoch 12,11.533661365509033
Epoch 13,11.23847508430481
Epoch 14,11.484694242477417
Epoch 15,11.299691915512085
