Stage,Time (seconds)
Normalization,0.580812931060791
One-hot Encoding,0.0030143260955810547
Model Definition,0.19793915748596191
Model Compilation,0.011981725692749023
Model Training,174.35656476020813
Total Time,175.1503129005432
Epoch 1,14.066965579986572
Epoch 2,11.166429042816162
Epoch 3,11.343429803848267
Epoch 4,11.249544620513916
Epoch 5,11.417486906051636
Epoch 6,12.011145830154419
Epoch 7,11.908965110778809
Epoch 8,11.543884992599487
Epoch 9,11.53234601020813
Epoch 10,11.317276000976562
Epoch 11,11.574508666992188
Epoch 12,11.205413818359375
Epoch 13,11.403351306915283
Epoch 14,11.185407876968384
Epoch 15,11.43040919303894
